ano_campeonato;data;horario;rodada;publico;time_man;time_vis;gols_man;gols_vis
2007;03/05/2007;12:00;1;26469;América-RN;Vasco da Gama;0;1
2007;03/05/2007;12:00;1;5116;Atlético-MG;Náutico;2;1
2007;03/05/2007;12:00;1;5806;Corinthians;Juventude;1;0
2007;03/05/2007;12:00;1;6222;Figueirense;Atlético-PR;3;6
2007;03/05/2007;12:00;1;7801;Flamengo;Palmeiras;2;4
2007;03/05/2007;12:00;1;12132;Fluminense;Cruzeiro;2;2
2007;03/05/2007;12:00;1;11870;Internacional;Botafogo;2;3
2007;03/05/2007;12:00;1;3568;Paraná;Grêmio;3;0
2007;03/05/2007;12:00;1;0;São Paulo;Goiás;2;0
2007;03/05/2007;12:00;1;23273;Sport;Santos;4;1
2007;20/05/2007;12:00;2;3093;Santos;América-RN;2;3
2007;20/05/2007;12:00;2;18512;Náutico;São Paulo;1;0
2007;20/05/2007;12:00;2;19047;Palmeiras;Figueirense;2;1
2007;20/05/2007;12:00;2;16682;Vasco da Gama;Sport;3;1
2007;20/05/2007;12:00;2;8932;Atlético-PR;Internacional;2;1
2007;20/05/2007;12:00;2;5991;Botafogo;Atlético-MG;2;1
2007;20/05/2007;12:00;2;17702;Cruzeiro;Corinthians;0;3
2007;20/05/2007;12:00;2;21971;Goiás;Flamengo;1;3
2007;20/05/2007;12:00;2;14968;Grêmio;Fluminense;2;0
2007;20/05/2007;12:00;2;3366;Juventude;Paraná;1;2
2007;27/05/2007;12:00;3;11107;América-RN;Figueirense;0;1
2007;27/05/2007;12:00;3;13311;Atlético-PR;Santos;0;1
2007;27/05/2007;12:00;3;21580;Corinthians;Atlético-MG;0;0
2007;27/05/2007;12:00;3;9092;Cruzeiro;Paraná;3;4
2007;27/05/2007;12:00;3;12321;Flamengo;Botafogo;2;2
2007;27/05/2007;12:00;3;4291;Fluminense;Internacional;3;0
2007;27/05/2007;12:00;3;9127;Goiás;Juventude;3;1
2007;27/05/2007;12:00;3;31606;Grêmio;Sport;1;0
2007;27/05/2007;12:00;3;15503;Náutico;Vasco da Gama;2;2
2007;27/05/2007;12:00;3;20873;São Paulo;Palmeiras;0;0
2007;03/06/2007;12:00;4;4038;Juventude;América-RN;3;0
2007;03/06/2007;12:00;4;11398;Atlético-MG;Atlético-PR;1;1
2007;03/06/2007;12:00;4;12681;Botafogo;Grêmio;3;0
2007;03/06/2007;12:00;4;10989;Figueirense;Goiás;2;1
2007;03/06/2007;12:00;4;12286;Internacional;Náutico;2;0
2007;03/06/2007;12:00;4;13381;Palmeiras;Cruzeiro;1;3
2007;03/06/2007;12:00;4;10795;Paraná;São Paulo;0;1
2007;03/06/2007;12:00;4;10736;Santos;Corinthians;1;1
2007;03/06/2007;12:00;4;33767;Sport;Flamengo;2;2
2007;03/06/2007;12:00;4;12693;Vasco da Gama;Fluminense;1;1
2007;10/06/2007;12:00;5;20208;América-RN;Corinthians;1;2
2007;10/06/2007;12:00;5;7196;Atlético-PR;Goiás;0;3
2007;10/06/2007;12:00;5;8038;Cruzeiro;Juventude;2;3
2007;10/06/2007;12:00;5;14363;Figueirense;Flamengo;4;0
2007;10/06/2007;12:00;5;35848;Fluminense;Sport;3;0
2007;10/06/2007;12:00;5;3220;Internacional;Santos;1;0
2007;10/06/2007;12:00;5;11226;Náutico;Paraná;4;4
2007;10/06/2007;12:00;5;21322;Palmeiras;Botafogo;1;1
2007;10/06/2007;12:00;5;22996;São Paulo;Atlético-MG;0;1
2007;10/06/2007;12:00;5;15519;Vasco da Gama;Grêmio;4;0
2007;17/06/2007;12:00;6;21067;Sport;América-RN;2;2
2007;17/06/2007;12:00;6;15554;Atlético-MG;Figueirense;4;1
2007;17/06/2007;12:00;6;7574;Atlético-PR;Fluminense;1;1
2007;17/06/2007;12:00;6;25967;Botafogo;Náutico;3;1
2007;17/06/2007;12:00;6;40182;Corinthians;Paraná;0;0
2007;17/06/2007;12:00;6;15358;Flamengo;Internacional;2;2
2007;17/06/2007;12:00;6;10523;Goiás;Palmeiras;3;1
2007;17/06/2007;12:00;6;9599;Grêmio;Cruzeiro;0;2
2007;17/06/2007;12:00;6;5011;Juventude;Santos;0;2
2007;17/06/2007;12:00;6;9065;São Paulo;Vasco da Gama;2;0
2007;24/06/2007;12:00;7;10061;América-RN;Fluminense;0;1
2007;24/06/2007;12:00;7;36746;Cruzeiro;Atlético-MG;4;2
2007;24/06/2007;12:00;7;30372;Internacional;Grêmio;0;2
2007;24/06/2007;12:00;7;4656;Juventude;Figueirense;1;1
2007;24/06/2007;12:00;7;10397;Náutico;Goiás;0;2
2007;24/06/2007;12:00;7;17552;Palmeiras;Atlético-PR;0;2
2007;24/06/2007;12:00;7;11259;Paraná;Sport;1;0
2007;24/06/2007;12:00;7;8703;Santos;São Paulo;0;2
2007;15/08/2007;12:00;7;13736;Botafogo;Corinthians;2;3
2007;18/10/2007;09:45;7;44473;Vasco da Gama;Flamengo;1;2
2007;30/06/2007;12:00;8;5712;América-RN;Goiás;0;3
2007;30/06/2007;12:00;8;28395;Corinthians;Palmeiras;0;1
2007;30/06/2007;12:00;8;37667;Cruzeiro;Vasco da Gama;3;1
2007;30/06/2007;12:00;8;11605;Figueirense;São Paulo;0;0
2007;30/06/2007;12:00;8;43810;Fluminense;Botafogo;1;2
2007;30/06/2007;12:00;8;11475;Internacional;Atlético-MG;1;1
2007;30/06/2007;12:00;8;6462;Paraná;Atlético-PR;2;2
2007;30/06/2007;12:00;8;3824;Santos;Grêmio;0;0
2007;30/06/2007;12:00;8;22704;Sport;Náutico;4;1
2007;23/08/2007;12:00;8;16845;Flamengo;Juventude;4;0
2007;04/07/2007;12:00;9;13049;Palmeiras;América-RN;2;0
2007;04/07/2007;12:00;9;21370;Atlético-MG;Flamengo;1;1
2007;04/07/2007;12:00;9;6156;Atlético-PR;Náutico;1;1
2007;04/07/2007;12:00;9;7570;Figueirense;Cruzeiro;2;1
2007;04/07/2007;12:00;9;4397;Fluminense;Paraná;0;0
2007;04/07/2007;12:00;9;22835;Goiás;Botafogo;1;1
2007;04/07/2007;12:00;9;13603;Grêmio;Juventude;3;1
2007;04/07/2007;12:00;9;11423;São Paulo;Internacional;1;0
2007;04/07/2007;12:00;9;32337;Sport;Corinthians;2;1
2007;04/07/2007;12:00;9;2379;Vasco da Gama;Santos;4;0
2007;07/07/2007;12:00;10;3790;Paraná;América-RN;0;1
2007;07/07/2007;12:00;10;13458;Atlético-MG;Grêmio;0;1
2007;07/07/2007;12:00;10;24923;Botafogo;Atlético-PR;2;0
2007;07/07/2007;12:00;10;8684;Corinthians;Fluminense;1;1
2007;07/07/2007;12:00;10;16797;São Paulo;Flamengo;0;0
2007;07/07/2007;12:00;10;9336;Goiás;Sport;3;2
2007;07/07/2007;12:00;10;7271;Internacional;Figueirense;2;1
2007;07/07/2007;12:00;10;4326;Juventude;Vasco da Gama;2;0
2007;07/07/2007;12:00;10;11015;Náutico;Palmeiras;0;1
2007;07/07/2007;12:00;10;3414;Santos;Cruzeiro;4;1
2007;14/07/2007;12:00;11;14402;América-RN;Internacional;1;2
2007;14/07/2007;12:00;11;19831;Corinthians;São Paulo;1;1
2007;14/07/2007;12:00;11;26857;Cruzeiro;Goiás;2;1
2007;14/07/2007;12:00;11;19567;Grêmio;Palmeiras;1;1
2007;14/07/2007;12:00;11;2544;Juventude;Náutico;1;1
2007;14/07/2007;12:00;11;3419;Paraná;Figueirense;1;2
2007;14/07/2007;12:00;11;12554;Santos;Botafogo;3;0
2007;14/07/2007;12:00;11;24595;Sport;Atlético-MG;2;0
2007;14/07/2007;12:00;11;2182;Vasco da Gama;Atlético-PR;1;0
2007;16/08/2007;08:30;11;49828;Fluminense;Flamengo;0;1
2007;14/06/2007;12:00;12;25287;Botafogo;Vasco da Gama;4;0
2007;18/07/2007;12:00;12;5851;Figueirense;Sport;0;1
2007;19/07/2007;12:00;12;7434;Atlético-MG;América-RN;4;1
2007;19/07/2007;12:00;12;5242;Atlético-PR;Juventude;4;0
2007;19/07/2007;12:00;12;16376;Internacional;Corinthians;3;0
2007;19/07/2007;12:00;12;9525;Náutico;Cruzeiro;1;4
